GEO_ID,NAME,S2301_C04_001E,id
0400000US12,Florida,5.3,0US12
0500000US12001,"Alachua County, Florida",4.8,12001
0500000US12003,"Baker County, Florida",5.1,12003
0500000US12005,"Bay County, Florida",4.6,12005
0500000US12007,"Bradford County, Florida",5,12007
0500000US12009,"Brevard County, Florida",4.8,12009
0500000US12011,"Broward County, Florida",6,12011
0500000US12013,"Calhoun County, Florida",3.4,12013
0500000US12015,"Charlotte County, Florida",5.4,12015
0500000US12017,"Citrus County, Florida",7.7,12017
0500000US12019,"Clay County, Florida",4.8,12019
0500000US12021,"Collier County, Florida",4.2,12021
0500000US12023,"Columbia County, Florida",8.2,12023
0500000US12027,"DeSoto County, Florida",9.4,12027
0500000US12029,"Dixie County, Florida",4.9,12029
0500000US12031,"Duval County, Florida",5.1,12031
0500000US12033,"Escambia County, Florida",6.3,12033
0500000US12035,"Flagler County, Florida",3.7,12035
0500000US12037,"Franklin County, Florida",9.5,12037
0500000US12039,"Gadsden County, Florida",4,12039
0500000US12041,"Gilchrist County, Florida",3.9,12041
0500000US12043,"Glades County, Florida",9.1,12043
0500000US12045,"Gulf County, Florida",4.1,12045
0500000US12047,"Hamilton County, Florida",11.3,12047
0500000US12049,"Hardee County, Florida",6.6,12049
0500000US12051,"Hendry County, Florida",6.1,12051
0500000US12053,"Hernando County, Florida",6.3,12053
0500000US12055,"Highlands County, Florida",7.4,12055
0500000US12057,"Hillsborough County, Florida",5,12057
0500000US12059,"Holmes County, Florida",4.8,12059
0500000US12061,"Indian River County, Florida",6,12061
0500000US12063,"Jackson County, Florida",5.1,12063
0500000US12065,"Jefferson County, Florida",6.2,12065
0500000US12067,"Lafayette County, Florida",5.9,12067
0500000US12069,"Lake County, Florida",6.1,12069
0500000US12071,"Lee County, Florida",4.6,12071
0500000US12073,"Leon County, Florida",6.2,12073
0500000US12075,"Levy County, Florida",5.2,12075
0500000US12077,"Liberty County, Florida",7.7,12077
0500000US12079,"Madison County, Florida",3.9,12079
0500000US12081,"Manatee County, Florida",5.5,12081
0500000US12083,"Marion County, Florida",6.9,12083
0500000US12085,"Martin County, Florida",4.6,12085
0500000US12086,"Miami-Dade County, Florida",5.1,12086
0500000US12087,"Monroe County, Florida",3.7,12087
0500000US12089,"Nassau County, Florida",4.8,12089
0500000US12091,"Okaloosa County, Florida",3.9,12091
0500000US12093,"Okeechobee County, Florida",5,12093
0500000US12095,"Orange County, Florida",5.7,12095
0500000US12097,"Osceola County, Florida",6,12097
0500000US12099,"Palm Beach County, Florida",6.1,12099
0500000US12101,"Pasco County, Florida",5.4,12101
0500000US12103,"Pinellas County, Florida",5,12103
0500000US12105,"Polk County, Florida",4.9,12105
0500000US12107,"Putnam County, Florida",9,12107
0500000US12109,"St. Johns County, Florida",4.7,12109
0500000US12111,"St. Lucie County, Florida",5.7,12111
0500000US12113,"Santa Rosa County, Florida",4.9,12113
0500000US12115,"Sarasota County, Florida",3.6,12115
0500000US12117,"Seminole County, Florida",4.5,12117
0500000US12119,"Sumter County, Florida",5.5,12119
0500000US12121,"Suwannee County, Florida",5.3,12121
0500000US12123,"Taylor County, Florida",6.2,12123
0500000US12125,"Union County, Florida",3.4,12125
0500000US12127,"Volusia County, Florida",4.2,12127
0500000US12129,"Wakulla County, Florida",3.3,12129
0500000US12131,"Walton County, Florida",4.6,12131
0500000US12133,"Washington County, Florida",5.6,12133